Baader SLOAN/SDSS i' Filter,,,,
λ (nm),OD,,,
966,6.160261358,,,
967,6.238065684,,,
968,6.195230102,,,
969,6.190870417,,,
970,6.163194298,,,
971,6.190339988,,,
972,6.202150528,,,
973,6.267245925,,,
974,6.185426686,,,
975,6.193267247,,,
976,6.190563686,,,
977,6.144658045,,,
978,6.111800521,,,
979,6.180958442,,,
980,6.182161831,,,
981,6.112455654,,,
982,6.149697515,,,
983,6.148372530,,,
984,6.114653618,,,
985,6.102471930,,,
986,6.097273605,,,
987,6.079824832,,,
988,6.080689018,,,
989,6.118758720,,,
990,6.141386544,,,
991,6.136532311,,,
992,6.111342658,,,
993,6.133389141,,,
994,6.080933715,,,
995,6.138578783,,,
996,6.104728872,,,
997,6.155304572,,,
998,6.213268609,,,
999,6.136639855,,,
1000,6.115588763,,,
1001,6.160292163,,,
1002,6.206109338,,,
1003,6.293035438,,,
1004,6.247562771,,,
1005,6.294733182,,,
1006,6.287368333,,,
1007,6.296745488,,,
1008,6.280983561,,,
1009,6.397658089,,,
1010,6.356363223,,,
1011,6.419394751,,,
1012,6.398594930,,,
1013,6.549550389,,,
1014,6.539387956,,,
1015,6.485974408,,,
1016,6.507745689,,,
1017,6.502995702,,,
1018,6.539075261,,,
1019,6.517555444,,,
1020,6.494835112,,,
1021,6.595351024,,,
1022,6.683336187,,,
1023,6.667282713,,,
1024,6.645373330,,,
1025,6.639668741,,,
1026,6.699427139,,,
1027,6.471077188,,,
1028,6.863710885,,,
1029,6.663026581,,,
1030,6.597086299,,,
1031,6.740113984,,,
1032,6.812867441,,,
1033,6.608209767,,,
1034,6.549114501,,,
1035,6.581915413,,,
1036,6.555443771,,,
1037,6.487359504,,,
1038,6.658731136,,,
1039,6.479275209,,,
1040,6.539678732,,,
1041,6.659786458,,,
1042,6.485736953,,,
1043,6.519230133,,,
1044,6.617376021,,,
1045,6.436767306,,,
1046,6.448272245,,,
1047,6.504280665,,,
1048,6.440308529,,,
1049,6.445015408,,,
1050,6.332209635,,,
1051,6.326467785,,,
1052,6.206257926,,,
1053,6.269222582,,,
1054,6.194006847,,,
1055,6.174449156,,,
1056,6.182404968,,,
1057,6.126321923,,,
1058,6.059560988,,,
1059,6.056777909,,,
1060,5.986963293,,,
1061,5.915024297,,,
1062,5.889550990,,,
1063,5.847773955,,,
1064,5.787618762,,,
1065,5.720939650,,,
1066,5.662862113,,,
1067,5.609075099,,,
1068,5.556858069,,,
1069,5.498638969,,,
1070,5.434330193,,,
1071,5.386560140,,,
1072,5.324459530,,,
1073,5.252437622,,,
1074,5.199311095,,,
1075,5.129222992,,,
1076,5.074945847,,,
1077,5.013325748,,,
1078,4.945984153,,,
1079,4.892973276,,,
1080,4.837295864,,,
1081,4.779789541,,,
1082,4.724986968,,,
1083,4.673379848,,,
1084,4.623623673,,,
1085,4.574551793,,,
1086,4.527040304,,,
1087,4.483301779,,,
1088,4.437687346,,,
1089,4.395110867,,,
1090,4.352311572,,,
1091,4.309584814,,,
1092,4.265756436,,,
1093,4.224837002,,,
1094,4.180889769,,,
1095,4.137070556,,,
1096,4.093735073,,,
1097,4.047916661,,,
1098,4.002037680,,,
1099,3.956946881,,,
1100,3.909653106,,,
1101,3.864761811,,,
1102,3.819058400,,,
1103,3.772885794,,,
1104,3.729487603,,,
1105,3.688418879,,,
1106,3.649551651,,,
