Baader SLOAN/SDSS u' Filter,,,,
λ (nm),OD,,,
578,9.115677280,,,
579,7.718542581,,,
580,8.249419995,,,
581,7.901797152,,,
582,7.863638799,,,
583,8.386892402,,,
584,7.916702653,,,
585,8.303276915,,,
586,7.602105863,,,
587,8.152142554,,,
588,7.942718818,,,
589,8.250704253,,,
590,8.669229028,,,
591,8.043176067,,,
592,8.964054066,,,
593,8.073040151,,,
594,8.962978850,,,
595,7.819250843,,,
596,7.971451463,,,
597,8.234052336,,,
598,8.601459433,,,
599,8.530985564,,,
600,8.396722432,,,
601,8.405043953,,,
602,8.541708633,,,
603,9.285153632,,,
604,7.859187125,,,
605,8.070285170,,,
606,8.847854918,,,
607,7.848092558,,,
608,9.420696604,,,
609,9.179771183,,,
610,9.805607866,,,
611,8.293216199,,,
612,7.841014783,,,
613,8.597754943,,,
614,8.865316943,,,
615,8.067162294,,,
616,9.676136018,,,
617,8.166727033,,,
618,7.823815946,,,
619,7.928513528,,,
620,7.883005883,,,
621,9.869005413,,,
622,7.995767799,,,
623,8.960768618,,,
624,7.697486201,,,
625,8.507118009,,,
626,8.823308100,,,
627,8.783199399,,,
628,7.784187361,,,
629,7.966466378,,,
630,8.907503026,,,
631,8.079311168,,,
632,8.633035546,,,
633,7.961308773,,,
634,8.561432072,,,
635,9.459672868,,,
636,8.295848417,,,
637,7.710651625,,,
638,8.230336661,,,
639,8.911819334,,,
640,8.772986345,,,
641,8.060795259,,,
642,8.424441057,,,
643,9.602597318,,,
644,7.829241319,,,
645,8.424320172,,,
646,8.434346161,,,
647,8.023301839,,,
648,7.998234343,,,
649,8.625561010,,,
650,8.557163224,,,
651,7.916575185,,,
652,7.998092452,,,
653,8.103440720,,,
654,8.476445611,,,
655,8.317404251,,,
656,7.973777528,,,
657,7.844328698,,,
658,9.220902801,,,
659,7.884454734,,,
660,8.147197134,,,
661,7.848695445,,,
662,8.165725384,,,
663,7.971355357,,,
664,8.583304406,,,
665,8.381609499,,,
666,7.542085848,,,
667,8.230033043,,,
668,7.669835452,,,
669,7.663154410,,,
670,7.424690915,,,
671,7.279492911,,,
672,7.136678811,,,
673,7.000813343,,,
674,6.957349588,,,
675,6.754135725,,,
676,6.680475804,,,
677,6.511355806,,,
678,6.408482360,,,
679,6.308240405,,,
680,6.231718386,,,
681,6.136422500,,,
682,6.095717139,,,
683,6.036082145,,,
684,6.004302390,,,
685,5.977024460,,,
686,5.947249353,,,
687,5.919185245,,,
688,5.914709386,,,
689,5.885187715,,,
690,5.878442486,,,
691,5.857103850,,,
692,5.837615094,,,
693,5.824367866,,,
694,5.813268595,,,
695,5.784511362,,,
696,5.755386643,,,
697,5.725078381,,,
698,5.710234760,,,
699,5.677002594,,,
700,5.654456940,,,
701,5.616739340,,,
702,5.574863574,,,
703,5.545180084,,,
704,5.500750858,,,
705,5.478232338,,,
706,5.448141141,,,
707,5.442290875,,,
708,5.444686616,,,
709,5.462255274,,,
710,5.490413000,,,
711,5.532980055,,,
712,5.571043365,,,
713,5.618436094,,,
714,5.670091220,,,
715,5.692388284,,,
716,5.739509441,,,
717,5.776185030,,,
718,5.819143318,,,
719,5.851416930,,,
720,5.878329144,,,
721,5.879388675,,,
722,5.885588163,,,
723,5.891777278,,,
724,5.877020342,,,
725,5.864511620,,,
726,5.844433778,,,
727,5.802607208,,,
728,5.760517056,,,
729,5.706474517,,,
730,5.683700925,,,
731,5.666504200,,,
732,5.676868694,,,
733,5.687508110,,,
734,5.746169710,,,
735,5.844888581,,,
736,5.959795164,,,
737,6.052372885,,,
738,6.174858981,,,
739,6.296279346,,,
740,6.378643101,,,
741,6.485238236,,,
742,6.512645824,,,
743,6.646452856,,,
744,6.657877647,,,
745,6.692473143,,,
746,6.678748417,,,
747,6.774177803,,,
748,6.720327650,,,
749,6.646366730,,,
750,6.588497275,,,
751,6.506675609,,,
752,6.339027979,,,
753,6.162033869,,,
754,6.005615771,,,
755,6.014716768,,,
756,6.219343426,,,
757,6.524436300,,,
758,6.857233904,,,
759,7.203986192,,,
760,7.568769513,,,
761,7.619007698,,,
762,7.857400218,,,
763,8.414869983,,,
764,7.599704096,,,
765,7.573604225,,,
766,8.409828266,,,
767,7.983296770,,,
768,8.045549553,,,
769,7.773886477,,,
770,7.901935757,,,
771,8.703584846,,,
772,7.850565209,,,
773,7.808197462,,,
774,7.667500229,,,
775,10.330789152,,,
776,8.476629403,,,
777,8.348252301,,,
778,7.832551853,,,
779,7.988749883,,,
780,7.629648595,,,
781,8.325756023,,,
782,7.531379882,,,
783,7.886406921,,,
784,7.915283590,,,
785,8.513795992,,,
786,7.689419845,,,
787,9.313137776,,,
788,8.587485173,,,
789,7.885162044,,,
790,7.865975125,,,
791,8.081005982,,,
792,8.231681481,,,
793,7.952716397,,,
794,7.543456949,,,
795,7.913639623,,,
796,7.404346244,,,
797,8.199391353,,,
798,8.279467249,,,
799,7.461735068,,,
800,7.333951020,,,
801,7.888101071,,,
802,7.645720190,,,
803,7.173305590,,,
804,6.993642935,,,
805,8.630894117,,,
806,7.153057555,,,
807,7.068464540,,,
808,6.910268366,,,
809,6.880404872,,,
810,7.750251792,,,
811,7.331443126,,,
812,6.873401696,,,
813,7.704562459,,,
814,7.204463801,,,
815,7.580288497,,,
816,7.412765375,,,
817,8.741529126,,,
818,7.021356774,,,
819,6.984147988,,,
820,7.394576117,,,
821,7.428046791,,,
822,7.285452992,,,
823,8.607921852,,,
824,7.203235804,,,
825,6.961413523,,,
826,7.817504469,,,
827,6.979385925,,,
828,8.024277059,,,
829,6.766319847,,,
830,7.039707292,,,
831,7.490044328,,,
832,7.579357819,,,
833,8.027403628,,,
834,7.260143690,,,
835,7.143031798,,,
836,7.351214918,,,
837,7.259251754,,,
838,8.118624088,,,
839,7.155525213,,,
840,7.416467732,,,
841,8.000571778,,,
842,7.312667696,,,
843,7.568168557,,,
844,8.220321993,,,
845,7.364426863,,,
846,8.010868788,,,
847,7.988917438,,,
848,7.521589920,,,
849,7.705934693,,,
850,8.102058531,,,
851,6.957138824,,,
852,7.521543715,,,
853,7.507631463,,,
854,7.387791635,,,
855,9.476347561,,,
856,8.263401810,,,
