Baader SLOAN/SDSS z-s' Filter,,,,
λ (nm),OD,,,
677,6.638689050,,,
678,6.540874306,,,
679,6.529253344,,,
680,6.452718857,,,
681,6.482642782,,,
682,6.386522450,,,
683,6.331889526,,,
684,6.270200945,,,
685,6.252732051,,,
686,6.159296381,,,
687,6.123536508,,,
688,6.053995911,,,
689,6.021989523,,,
690,5.929323523,,,
691,5.874432450,,,
692,5.795289212,,,
693,5.718916674,,,
694,5.631612546,,,
695,5.548254565,,,
696,5.442573424,,,
697,5.345251716,,,
698,5.230880663,,,
699,5.114543550,,,
700,4.989812680,,,
701,4.864670075,,,
702,4.735836018,,,
703,4.615609144,,,
704,4.505320918,,,
705,4.418092181,,,
706,4.361146543,,,
707,4.328188727,,,
708,4.310849154,,,
709,4.297947034,,,
710,4.292776878,,,
711,4.292327038,,,
712,4.293099759,,,
713,4.302671727,,,
714,4.315137292,,,
715,4.328551331,,,
716,4.344005111,,,
717,4.361636559,,,
718,4.380323255,,,
719,4.394713778,,,
720,4.411982433,,,
721,4.426977902,,,
722,4.440972542,,,
723,4.453260889,,,
724,4.463817602,,,
725,4.468933533,,,
726,4.473151467,,,
727,4.472137166,,,
728,4.470780457,,,
729,4.466219665,,,
730,4.456219730,,,
731,4.447116326,,,
732,4.431711679,,,
733,4.418341322,,,
734,4.404404242,,,
735,4.393442113,,,
736,4.382253465,,,
737,4.376096221,,,
738,4.372335077,,,
739,4.378896376,,,
740,4.388815944,,,
741,4.408444487,,,
742,4.439199126,,,
743,4.467740442,,,
744,4.505564118,,,
745,4.548994277,,,
746,4.588731274,,,
747,4.633643675,,,
748,4.673281097,,,
749,4.719950145,,,
750,4.757163728,,,
751,4.797650368,,,
752,4.834152235,,,
753,4.861755588,,,
754,4.889531123,,,
755,4.919372138,,,
756,4.940434201,,,
757,4.962616952,,,
758,4.978929136,,,
759,4.997704984,,,
760,5.006577401,,,
761,5.010757732,,,
762,5.019700765,,,
763,5.014819788,,,
764,5.015091511,,,
765,5.016985414,,,
766,5.005240056,,,
767,5.003968140,,,
768,4.983322222,,,
769,4.971875347,,,
770,4.950880972,,,
771,4.936340922,,,
772,4.910208785,,,
773,4.890235083,,,
774,4.859573092,,,
775,4.827774100,,,
776,4.798930581,,,
777,4.764199225,,,
778,4.728627887,,,
779,4.687649611,,,
780,4.644172670,,,
781,4.602526685,,,
782,4.560497171,,,
783,4.503712737,,,
784,4.452428337,,,
785,4.402515078,,,
786,4.343918134,,,
787,4.288492565,,,
788,4.225310497,,,
