Wavelength (nm),Transmission
658.1400146,0.01060273964
658.1199951,0
658.0999756,0.01002329495
658.0800171,0.01409727894
658.0599976,0.02255067229
658.039978,0
658.0200195,0.01247219183
658,0.03766032681
657.9799805,0.08135375381
657.960022,0.01437726431
657.9400024,0.01458609197
657.9199829,0.03427710384
657.9000244,0.04485964775
657.8800049,0.03384978324
657.8599854,0.05355057493
657.8400269,0.07823200524
657.8200073,0.01676364616
657.7999878,0.07276162505
657.7800293,0.04402994365
657.7600098,0.06240555644
657.7399902,0.07863461226
657.7199707,0.04199106246
657.7000122,0.08002337813
657.6799927,0.1019319892
657.6599731,0.1067060158
657.6400146,0.08540411294
657.6199951,0.1348031163
657.5999756,0.1467553824
657.5800171,0.1268086135
657.5599976,0.1529784799
657.539978,0.1442438811
657.5200195,0.1665248126
657.5,0.1982916892
657.4799805,0.1991758049
657.460022,0.2471440434
657.4400024,0.262021333
657.4199829,0.3381883204
657.4000244,0.2982805371
657.3800049,0.3653669357
657.3599854,0.3909748495
657.3400269,0.4984816909
657.3200073,0.5032534599
657.2999878,0.5050756335
657.2800293,0.5899397135
657.2600098,0.7387116551
657.2399902,0.8074233532
657.2199707,0.8829185963
657.2000122,0.9940510392
657.1799927,1.086352468
657.1599731,1.291267753
657.1400146,1.487451911
657.1199951,1.588128686
657.0999756,1.766923428
657.0800171,2.085962057
657.0599976,2.524300575
657.039978,2.861861229
657.0200195,3.559413433
657,3.887747288
656.9799805,4.473128319
656.960022,5.384889603
656.9400024,6.161830425
656.9199829,7.361555099
656.9000244,8.616568565
656.8800049,9.90265274
656.8599854,12.49729729
656.8400269,15.08991528
656.8200073,18.40241241
656.7999878,22.19795227
656.7800293,25.23389816
656.7600098,30.04598618
656.7399902,34.85180283
656.7199707,40.95809937
656.7000122,48.12361145
656.6799927,53.03606415
656.6599731,59.29290009
656.6400146,66.95619202
656.6199951,72.77045441
656.5999756,79.43998718
656.5800171,83.40673828
656.5599976,86.22203827
656.539978,90.02165222
656.5200195,90.86573029
656.5,93.61713409
656.4799805,93.88779449
656.460022,94.90885162
656.4400024,94.63137817
656.4199829,95.40555573
656.4000244,95.22233582
656.3800049,95.80534363
656.3599854,94.94099426
656.3400269,95.81324768
656.3200073,96.37806702
656.2999878,96.25177002
656.2800293,96.34896088
656.2600098,96.66388702
656.2399902,97.45492554
656.2199707,97.29310608
656.2000122,97.65118408
656.1799927,97.1681366
656.1599731,97.61473083
656.1400146,97.26624298
656.1199951,97.10768127
656.0999756,97.14575195
656.0800171,95.95006561
656.0599976,96.51517487
656.039978,95.73714447
656.0200195,95.65670013
656,94.04039001
655.9799805,94.64578247
655.960022,95.76699829
655.9400024,94.97975922
655.9199829,94.53253174
655.9000244,95.19898987
655.8800049,94.65540314
655.8599854,94.79869843
655.8400269,93.68540955
655.8200073,94.16644287
655.7999878,93.01557922
655.7800293,91.67234802
655.7600098,88.71839905
655.7399902,85.24258423
655.7199707,80.37260437
655.7000122,75.94644928
655.6799927,71.10558319
655.6599731,63.49496078
655.6400146,57.34466171
655.6199951,51.2976532
655.5999756,45.48230743
655.5800171,39.31000519
655.5599976,33.28152466
655.539978,28.27296829
655.5200195,23.00559616
655.5,19.38502121
655.4799805,16.77831459
655.460022,14.24866867
655.4400024,11.94910717
655.4199829,10.46707439
655.4000244,8.690812111
655.3800049,7.430597305
655.3599854,6.524185181
655.3400269,5.35057497
655.3200073,4.688625336
655.2999878,3.844280243
655.2800293,3.314311743
655.2600098,3.120267868
655.2399902,2.621274948
655.2199707,2.182594538
655.2000122,1.934880733
655.1799927,1.623465538
655.1599731,1.537527084
655.1400146,1.238532305
655.1199951,1.091901422
655.0999756,0.9975181818
655.0800171,0.8602474928
655.0599976,0.7199978232
655.039978,0.6394992471
655.0200195,0.6568342447
655,0.6460162401
654.9799805,0.4761355817
654.960022,0.4110366702
654.9400024,0.3860694468
654.9199829,0.3836892247
654.9000244,0.3563901782
654.8800049,0.314717263
654.8599854,0.2794626951
654.8400269,0.1901582927
654.8200073,0.1862424761
654.7999878,0.1800230891
654.7800293,0.2011029571
654.7600098,0.208858937
654.7399902,0.1828374863
654.7199707,0.1242729947
654.7000122,0.09586734325
654.6799927,0.09790180624
654.6599731,0.114654839
654.6400146,0.1583918184
654.6199951,0.09981511533
654.5999756,0.05841406062
654.5800171,0.03296058998
654.5599976,0.02960466594
654.539978,0.02671987191
654.5200195,0.07017676532
654.5,0.09839978069
654.4799805,0.06454862654
654.460022,0
654.4400024,0.01114388462
654.4199829,0.005082193296
654.4000244,0.01127314288
654.3800049,0.06630462408
654.3599854,0.0633142218
654.3400269,0
654.3200073,0.01058712229
654.2999878,0.01283901092
654.2800293,0.03210611269
654.2600098,0.05318535864
