Wavelength (µm),Bulk Absorption,Dichroics,Field Lens,Collimator,Camera,Total
0.584,0.991049,0.9604,0.9604,0.941480149401,0.951110130465772,0.818542823955684
0.590,0.991914,0.9604,0.9604,0.941480149401,0.951110130465772,0.819257258401127
0.597,0.992779,0.9604,0.9604,0.941480149401,0.951110130465772,0.819971692846569
0.603,0.992779,0.9604,0.9604,0.941480149401,0.951110130465772,0.819971692846569
0.610,0.991913,0.9604,0.9604,0.941480149401,0.951110130465772,0.819256432465351
0.616,0.991047,0.9604,0.9604,0.941480149401,0.951110130465772,0.818541172084134
0.622,0.990183,0.9604,0.9604,0.941480149401,0.951110130465772,0.817827563574466
0.629,0.989318,0.9604,0.9604,0.941480149401,0.951110130465772,0.817113129129023
0.635,0.988455,0.9604,0.9604,0.941480149401,0.951110130465772,0.81640034655513
0.642,0.987592,0.9604,0.9604,0.941480149401,0.951110130465772,0.815687563981238
0.648,0.986729,0.9604,0.9604,0.941480149401,0.951110130465772,0.814974781407345
0.654,0.987052,0.9604,0.9604,0.941480149401,0.951110130465772,0.815241558662695
0.661,0.987914,0.9604,0.9604,0.941480149401,0.951110130465772,0.815953515300813
0.667,0.988777,0.9604,0.9604,0.941480149401,0.951110130465772,0.816666297874706
0.674,0.98964,0.9604,0.9604,0.941480149401,0.951110130465772,0.817379080448598
0.680,0.990504,0.9604,0.9604,0.941480149401,0.951110130465772,0.818092688958266
0.686,0.991369,0.9604,0.9604,0.941480149401,0.951110130465772,0.818807123403709
0.693,0.992234,0.9604,0.9604,0.941480149401,0.951110130465772,0.819521557849152
0.699,0.9931,0.9604,0.9604,0.941480149401,0.951110130465772,0.820236818230369
0.706,0.993208,0.9604,0.9604,0.941480149401,0.951110130465772,0.820326019294078
0.712,0.993208,0.9604,0.9604,0.941480149401,0.951110130465772,0.820326019294078
0.718,0.993208,0.9604,0.9604,0.941480149401,0.951110130465772,0.820326019294078
0.725,0.993208,0.9604,0.9604,0.941480149401,0.951110130465772,0.820326019294078
0.731,0.993208,0.9604,0.9604,0.941480149401,0.951110130465772,0.820326019294078
0.738,0.993208,0.9604,0.9604,0.941480149401,0.951110130465772,0.820326019294078
0.744,0.993207,0.9604,0.9604,0.941480149401,0.951110130465772,0.820325193358303
0.750,0.993207,0.9604,0.9604,0.941480149401,0.951110130465772,0.820325193358303
0.757,0.993207,0.9604,0.9604,0.941480149401,0.951110130465772,0.820325193358303
0.763,0.993207,0.9604,0.9604,0.941480149401,0.951110130465772,0.820325193358303
0.770,0.993207,0.9604,0.9604,0.941480149401,0.951110130465772,0.820325193358303
0.776,0.993207,0.9604,0.9604,0.941480149401,0.951110130465772,0.820325193358303
0.782,0.993207,0.9604,0.9604,0.941480149401,0.951110130465772,0.820325193358303
0.789,0.993206,0.9604,0.9604,0.941480149401,0.951110130465772,0.820324367422528
0.795,0.993206,0.9604,0.9604,0.941480149401,0.951110130465772,0.820324367422528
0.802,0.993098,0.9604,0.9604,0.941480149401,0.951110130465772,0.820235166358819
0.808,0.992664,0.9604,0.9604,0.941480149401,0.951110130465772,0.819876710232435
0.814,0.992231,0.9604,0.9604,0.941480149401,0.951110130465772,0.819519080041826
0.821,0.991798,0.9604,0.9604,0.941480149401,0.951110130465772,0.819161449851217
0.827,0.991365,0.9604,0.9604,0.941480149401,0.951110130465772,0.818803819660608
